datetime,month,day,hour,t,Station,x,Rainfall_Aries,Rainfall_Boso,Rainfall_Campana,Rainfall_Nangka,Rainfall_Oro,Waterlevel,Discharge,Cross_Section,Velocity,fric_coeff,slope
2016-06-27 15:00:00,6,27,15,140400.0,Sto_Nino,14420,0,0,1,0,0,12.11,19.3703155829342,799.26,0.0242353121423994,0.033,0.0006666666666666
2016-06-27 16:00:00,6,27,16,144000.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 16:00:00,6,27,16,144000.0,Sto_Nino,14420,0,0,0,0,0,12.1,19.141618999995096,798.6,0.0239689694465252,0.033,0.0006666666666666
2016-06-27 17:00:00,6,27,17,147600.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 17:00:00,6,27,17,147600.0,Sto_Nino,14420,0,0,0,0,0,12.09,18.915096867258104,797.9399999999999,0.0237049112304911,0.033,0.0006666666666666
2016-06-27 18:00:00,6,27,18,151200.0,Montalban,0,0,0,0,0,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-27 18:00:00,6,27,18,151200.0,Sto_Nino,14420,0,0,0,0,0,12.08,18.690733531405485,797.28,0.0234431235342733,0.033,0.0006666666666666
2016-06-27 19:00:00,6,27,19,154800.0,Montalban,0,0,0,0,0,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-27 19:00:00,6,27,19,154800.0,Sto_Nino,14420,0,0,0,0,0,12.07,18.46851341548696,796.62,0.0231835924474491,0.033,0.0006666666666666
2016-06-27 20:00:00,6,27,20,158400.0,Montalban,0,0,0,0,0,0,20.57,9.377509972773408,617.1,0.0151960945920813,0.035,0.002
2016-06-27 20:00:00,6,27,20,158400.0,Sto_Nino,14420,0,0,0,0,0,12.06,18.24842101872513,795.96,0.0229263041091576,0.033,0.0006666666666666
2016-06-27 21:00:00,6,27,21,162000.0,Montalban,0,0,0,0,0,0,20.57,9.377509972773408,617.1,0.0151960945920813,0.035,0.002
2016-06-27 21:00:00,6,27,21,162000.0,Sto_Nino,14420,0,0,0,0,0,12.05,18.030440916320984,795.3000000000001,0.022671244708061,0.033,0.0006666666666666
2016-06-27 22:00:00,6,27,22,165600.0,Montalban,0,0,0,0,0,0,20.58,9.4720007195621,617.4,0.0153417569153905,0.035,0.002
2016-06-27 22:00:00,6,27,22,165600.0,Sto_Nino,14420,0,0,0,0,0,12.04,17.814557759259355,794.64,0.0224184004823056,0.033,0.0006666666666666
